scenario,n_runs_setting,base_seed,agent_setup,tau,beta,fx_cost,n_observations,final_gap_mean,final_gap_std,recovery_time_mean,recovery_time_std,recovery_b_mean,recovery_b_std,vol_before_mean,vol_after_mean
baseline,50,142,high_agents,0.0,0.0,0.0,50,12.204580000000007,0.17941197489212807,177.8695652173913,49.71491851074126,1.0,0.0,0.00029857986109076715,0.0007812411366803812
baseline,50,142,low_agents,0.0,0.0,0.0,50,6.721380000000008,1.725435950709269,1.4565217391304348,2.0731781478807463,1.0,0.0,0.0003005127704048415,0.008373261742416519
baseline,50,242,baseline_agents,0.0,0.0,0.0,50,12.051040000000008,1.2612230371301325,0.0,0.0,1.0,0.0,0.0001831143940010654,0.0004232185950243824
baseline,50,242,high_agents,0.0,0.0,0.0,50,12.154060000000008,0.2007730376645731,172.43478260869566,51.73518767984489,1.0,0.0,0.00030250719361644344,0.0007916960742902375
baseline,50,242,low_agents,0.0,0.0,0.0,50,6.620600000000009,1.3843304577760798,1.24,1.6849877368899124,1.0,0.0,0.00030049463899500177,0.009399253879221336
baseline,100,42,baseline_agents,0.0,0.0,0.0,100,12.086920000000006,0.8635307213218686,0.0,0.0,1.0,0.0,0.00018029525352260183,0.000691497689465494
baseline,100,42,high_agents,0.0,0.0,0.0,100,12.188420000000008,0.19382394281430002,192.11363636363637,49.48770855573383,1.0,0.0,0.0003059060230928282,0.0007832220549313379
baseline,100,42,low_agents,0.0,0.0,0.0,100,6.6346700000000105,1.6549201210849158,1.684782608695652,2.9461442405774405,1.0,0.0,0.0003116793128425428,0.007504691641903455
baseline,100,142,baseline_agents,0.0,0.0,0.0,100,12.064330000000007,0.8355299903339654,0.9473684210526315,4.129483209670112,1.0,0.0,0.00012995180968160866,0.0008134509324762519
baseline,100,142,high_agents,0.0,0.0,0.0,100,12.187090000000007,0.17742416761119334,190.72,54.60546432999061,1.0,0.0,0.0003031078246743999,0.0007821024886386889
baseline,100,142,low_agents,0.0,0.0,0.0,100,6.6561900000000085,1.5207462927022626,1.967741935483871,3.555313270925356,1.0,0.0,0.00029652204053618353,0.008706586796532807
baseline,100,242,baseline_agents,0.0,0.0,0.0,100,12.162800000000006,0.9160198820126254,0.0,0.0,1.1030927835051547,1.015346165133619,0.0001577276140308795,0.0005754790422218237
baseline,100,242,high_agents,0.0,0.0,0.0,100,12.180480000000006,0.19321446084283497,191.82978723404256,54.83664244190715,1.0,0.0,0.0003031902252523826,0.0007857481659697993
baseline,100,242,low_agents,0.0,0.0,0.0,100,6.577480000000009,1.3188477790262314,1.24,1.6150804464437207,1.0,0.0,0.0002979349386052286,0.00861933589101721
high_transport,20,42,baseline_agents,1.0,0.0,0.001,20,8.183700000000007,3.60529632478021,1.8,3.492849839314596,1.0,0.0,0.0003518053699110916,0.0019086692011095463
high_transport,20,42,high_agents,1.0,0.0,0.001,20,12.194300000000009,0.2055260516205583,150.375,43.696804394437294,1.0,0.0,0.00030621382199905585,0.0007857645967652334
high_transport,20,42,low_agents,1.0,0.0,0.001,20,8.867000000000008,0.9744639552081964,0.35,0.5871429486123998,1.0,0.0,0.0004121059572947127,0.004645437943714135
high_transport,20,142,baseline_agents,1.0,0.0,0.001,20,8.114500000000005,4.018691440598151,7.888888888888889,7.688375063113864,1.0,0.0,0.0003420363004435101,0.006666058745313318
high_transport,20,142,high_agents,1.0,0.0,0.001,20,12.173200000000005,0.1608901554019492,169.8,56.355616894463644,1.0,0.0,0.00030838145446555177,0.0007862858333131684
high_transport,20,142,low_agents,1.0,0.0,0.001,20,8.73800000000001,1.1293295635720784,0.45,0.5104177855340404,1.0,0.0,0.0004286985306042309,0.0069033004825938635
high_transport,20,242,baseline_agents,1.0,0.0,0.001,20,7.555550000000009,3.3045140653195486,8.666666666666666,11.07925990308017,1.0,0.0,0.0006204260139722471,0.004806067854086529
high_transport,20,242,high_agents,1.0,0.0,0.001,20,12.17805000000001,0.1842119702950888,173.0,78.68608517393656,1.0,0.0,0.0003065256705153595,0.0007891817099522962
high_transport,20,242,low_agents,1.0,0.0,0.001,20,8.749000000000011,0.8080769895576961,0.75,1.446411166701189,1.0,0.0,0.0004026462079738216,0.005244923431686243
high_transport,50,42,baseline_agents,1.0,0.0,0.001,50,8.847940000000008,3.9103572696006146,5.636363636363637,8.732384866377881,1.0,0.0,0.00033588353508392886,0.0028316599233043993
high_transport,50,42,high_agents,1.0,0.0,0.001,50,12.21560000000001,0.17921415760400866,171.73333333333332,61.901380860049905,1.0,0.0,0.0003074979072846789,0.0007828337490092134
high_transport,50,42,low_agents,1.0,0.0,0.001,50,8.838600000000008,0.8788652470367575,0.38,0.8545197959278962,1.0,0.0,0.00041148305597315615,0.004002022164304317
high_transport,50,142,baseline_agents,1.0,0.0,0.001,50,8.209620000000006,3.8767453680337907,5.15,6.141103963843704,1.0,0.0,0.00034836874417295535,0.0061210828431732455
